00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
00680	GCK	NP_277042.1	Maturity-onset diabetes of the young, type II	1570017,1349989,1502186,1303265,8376578,8495817,16965331
00680	GCK	NP_277042.1	Diabetes mellitus, gestational	8495817
00680	GCK	NP_277042.1	Hyperinsulinemic hypoglycemia, familial, 3	9469993,9435328,11916951,15277402
00681	H6PD	NP_004276.2	Cortisone reductase deficiency	10522997,12858176
00683	SLC2A1	NP_006507.2	Glucose transport defect, blood-brain barrier	1714544,9462754,10980529,11136715,11603379
00685	SLC2A2	NP_000331.1	Diabetes mellitus, noninsulin-dependent	8063045,8027028,11810292
00685	SLC2A2	NP_000331.1	Fanconi-Bickel syndrome	9354798,9266402,3839598,9686354,15397919,11810292,13480676,8362811,10987651,10697967,7564233,6274135,7632512,11044475
00688	SLC2A4	NP_001033.1	Diabetes mellitus, noninsulin-dependent	1918382
00689	GPT	NP_005300.1	Glutamic-pyruvate transaminase, polymorphism of	9119391
00696	ALDH18A1	NP_002851.2	Hyperammonemia with hypoornithinemia, hypocitrullinemia, hypoargininemia, and hypoprolinemia	11092761
00701	GLUL	NP_002056.2	Glutamine deficiency, congenital	16267323
00715	GPD2	NP_000399.2	Diabetes mellitus, type II	9070847
00718	CFB	NP_001701.2	Macular degeneration, age-related, reduced risk of	16518403,16936732
00718	CFB	NP_001701.2	Factor B fast-slow polymorphism	3315100,8181962,2249879
00719	GLRA1	NP_000162.2	Hyperekplexia, autosomal recessive	7881416,11702206,8651283,7874121,11973623
00719	GLRA1	NP_000162.2	Hyperekplexia, autosomal dominant	8298642,7981700,7611730,8733061,7881416,8571969,9920650,11781706
00719	GLRA1	NP_000162.2	Hyperekplexia and spastic paraparesis	8733061,9067762
00722	GYS2	NP_068776.2	Glycogen storage disease 0	9691087,141912,106027,8534634
00724	ORM1	NP_000598.2	Orosomucoid polymorphism	14081071,9050929
00727	AHSG	NP_001613.2	Leanness, susceptibility to	9003486,15592877,15806395
00728	APOH	NP_000033.2	APOH polymorphism	8099061
00729	GP1BB	AAA20398.1	Bernard Soulier syndrome, type B	10887115,7633430,8703016
00729	GP1BB	AAA20398.1	Macrothrombocytopenia, familial, Bernard-Soulier type	9116284
00732	GNRHR	NP_000397.1	Hypogonadotropic hypogonadism	9371856,10022417,10690855,17235395,11397842,11397871,10084584,9425890,10523035,10999776,11318785,11994356,12050282,12679486,15240592
00733	GRN	NP_002078.1	Frontotemporal dementia, ubiquitin-positive	16495329,16862115,16862116,16401619
00739	CSF2RB	NP_000386.1	Pulmonary alveolar proteinosis	9410898
00743	GNB3	NP_002066.1	GNB3 polymorphism	9425898,10523525,10477144,10770310,10770309,10770297,11322952,12668921
00745	RASA1	NP_002881.1	Capillary malformation-arteriovenous malformation	14639529
00745	RASA1	NP_002881.1	Basal cell carcinoma, somatic	8275088
00748	GHRHR	NP_000814.2	Growth hormone deficiency, isolated	8528260,9467553,9814493,10084571,10566659,11443201,11232012,11875102
00749	GC	NP_000574.2	GC1/GC2 polymorphism	1352271,8381387,12050214
00751	GH1	NP_000506.2	Isolated growth hormone deficiency, type 1B	10678654
00751	GH1	NP_000506.2	Short stature, idiopathic, autosomal	15001589,15713716
00751	GH1	NP_000506.2	Isolated growth hormone deficiency, type II	8288694,8530604,10372722,10445339,7714096,8923859,9175738,7567462,9700205,10469016,11836331,12000366,12574219
00751	GH1	NP_000506.2	Growth hormone deficiency	8364549
00751	GH1	NP_000506.2	Isolated growth hormone deficiency, type Ia	8496314
00751	GH1	NP_000506.2	Isolated growth hormone deficiency, type Ib	8496314,8288694
00751	GH1	NP_000506.2	Kowarski syndrome	8552145,9276733
00754	GMPR	NP_006868.3	GMP reductase polymorphism	1757097
00761	GNAS	NP_536350.2	Mccune-Albright syndrome	10571700,7751320
00761	GNAS	NP_536350.2	Prolonged bleeding time, brachydactyly, and mental retardation	11583302,12719376
00761	GNAS	NP_536350.2	Pseudopseudohypoparathyroidism	11600516
00761	GNAS	NP_536350.2	Osseous heteroplasia, progressive	11784876
00761	GNAS	NP_536350.2	Pseudohypoparathyroidism, type Ib	15592469,11029463
00761	GNAS	NP_536350.2	Pseudohypoparathyroidism, type Ia	2109828,9328353,8702665,9159128,11450852,11095461
00761	GNAS	NP_536350.2	Albright hereditary osteodystrophy	2122458,219790,1505964,9876352,11784876,12024004,12024005,9506752,9727013,10200251,10487696
00761	GNAS	NP_536350.2	Pituitary tumor, growth hormone-secreting	3018748,2825031,2549426,1944469,7739708,9626141,12970318,1594625,3720010,1681239,1683435,1346061,1424186,1400888,10190480,8126161,11297617,12727968,9267696
00761	GNAS	NP_536350.2	Pituitary adenoma, ACTH-secreting	7737262
00761	GNAS	NP_536350.2	Albright hereditary osteodystrophy with testotoxicosis	8072545
00762	GNAT2	NP_005263.1	Achromatopsia 4	12077706,12205108,15557429
00763	KRT1	NP_006112.3	Ichthyosis, cyclic, with epidermolytic hyperkeratosis	10053007
00763	KRT1	NP_006112.3	Ichthyosis histrix, Curth-Macklin type	11286616,12603866
00763	KRT1	NP_006112.3	Palmoplantar keratoderma, nonepidermolytic	11286630
00763	KRT1	NP_006112.3	Bullous congenital ichthyosiform erythroderma	11531804
00763	KRT1	NP_006112.3	Keratosis palmoplantaris striata III	11982762,11286616
00763	KRT1	NP_006112.3	Palmoplantar keratoderma	12406346
00763	KRT1	NP_006112.3	Epidermolytic hyperkeratosis, late-onset	12648226
00763	KRT1	NP_006112.3	Epidermolytic hyperkeratosis	1380725,1284546,1381288,7512983,12406348
00763	KRT1	NP_006112.3	Unna-Thost disease	7528239
00764	GNAI2	NP_002061.1	Adrenal cortical tumor	2116665
00764	GNAI2	NP_002061.1	Pituitary adenoma, ACTH-secreting	7737262
00764	GNAI2	NP_002061.1	Ventricular tachycardia, idiopathic	9637720
00772	HP	NP_005134.1	Haptoglobin, alpha-1, fast-slow polymorphism	4172407,2063867
00772	HP	NP_005134.1	Haptoglobin, alpha-2	4172407,2063867,8225317
00772	HP	NP_005134.1	Anhaptoglobinemia	9463309,10666182,10644822,14616769,14999562
00782	HMOX1	NP_002124.1	Heme oxygenase 1 deficiency	9884342
00784	HBA1	NP_000549.1	Hemoglobin Bourmedes	3438164
00784	HBA1	NP_000549.1	Hemoglobin Karachi	3097343
00784	HBA1	NP_000549.1	Hemoglobin Oleander	6129203
00784	HBA1	NP_000549.1	Hemoglobin Aghia Sophia	10569720
00784	HBA1	NP_000549.1	Hemoglobin Charolles	10569723
00784	HBA1	NP_000549.1	Hemoglobin Roubaix	10569725
00784	HBA1	NP_000549.1	Hemoglobin Ottawa	10722119,11939517
00784	HBA1	NP_000549.1	Hemoglobin Moabit	108887
00784	HBA1	NP_000549.1	Hemoglobin Suresnes	11123,701092
00784	HBA1	NP_000549.1	Hemoglobin Arya	1138883
00784	HBA1	NP_000549.1	Hemoglobin Douala	11570726
00784	HBA1	NP_000549.1	Hemoglobin Titusville	1164512
00784	HBA1	NP_000549.1	Hemoglobin Anantharaj	1174563
00784	HBA1	NP_000549.1	Thalassemia, alpha-plus	11791872
00784	HBA1	NP_000549.1	Hemoglobin Hirosaki	1182166,640856
00784	HBA1	NP_000549.1	Hemoglobin Strumica	1191675,1225585
00784	HBA1	NP_000549.1	Hemoglobin Delfzicht	12144062
00784	HBA1	NP_000549.1	Hemoglobin J (Kurosh)	1259994
00784	HBA1	NP_000549.1	Hemoglobin Perspolis	1259994
00784	HBA1	NP_000549.1	Hemoglobin Alpha variants, molecular defect unknown	13426607,13436817,4953733,5840408,6018071,14109943,14282069
00784	HBA1	NP_000549.1	Hemoglobin M (Boston)	13454817,13897827,14323593,5840695,4521212
00784	HBA1	NP_000549.1	Hemoglobin Hopkins 2	13500096,16590776,646867
00784	HBA1	NP_000549.1	Hemoglobin G (Taichung)	13510789,13703277,5960254,508945,5410724,5460202,640847,7448125,1487419
00784	HBA1	NP_000549.1	Hemoglobin O (Indonesia)	13536534,13968953,4986187,11558897
00784	HBA1	NP_000549.1	Hemoglobin Norfolk	13572830,13863929,13955802,5927878,5782754
00784	HBA1	NP_000549.1	Hemoglobin Shimonoseki	14236737
00784	HBA1	NP_000549.1	Hemoglobin Al-ain Abu Dhabi	1428941
00784	HBA1	NP_000549.1	Hemoglobin Yuda	1428950
00784	HBA1	NP_000549.1	Hemoglobin Russ	14449876,5972865,2752146
00784	HBA1	NP_000549.1	Hemoglobin Saratoga Springs	14649314
00784	HBA1	NP_000549.1	Hemoglobin Luton	1486044
00784	HBA1	NP_000549.1	Hemoglobin Die	15008266
00784	HBA1	NP_000549.1	Hemoglobin Beziers	15008266
00784	HBA1	NP_000549.1	Hemoglobin Zaire	1511986
00784	HBA1	NP_000549.1	Hemoglobin Montefiore	1511986
00784	HBA1	NP_000549.1	Hemoglobin Rouen	1511986,1428951
00784	HBA1	NP_000549.1	Hemoglobin Tamano	15481890
00784	HBA1	NP_000549.1	Hemoglobin Tokyo	15481890
00784	HBA1	NP_000549.1	Hemoglobin Buffalo	15481890,12403494
00784	HBA1	NP_000549.1	Hemoglobin Riccarton	15768556
00784	HBA1	NP_000549.1	Hemoglobin Oegstgeest	16114179
00784	HBA1	NP_000549.1	Hemoglobin Thionville	1618774
00784	HBA1	NP_000549.1	Hemoglobin Kanagawa	1634355
00784	HBA1	NP_000549.1	Hemoglobin Turriff	1634357,12779275
00784	HBA1	NP_000549.1	Hemoglobin Lamen Island	16728641
00784	HBA1	NP_000549.1	Alpha-thalassemia	16798638
00784	HBA1	NP_000549.1	Hemoglobin Port Huron	1802882
00784	HBA1	NP_000549.1	Hemoglobin Fukutomi	2079432
00784	HBA1	NP_000549.1	Hemoglobin Attleboro	2108715
00784	HBA1	NP_000549.1	Hemoglobin J (Anatolia)	2272835
00784	HBA1	NP_000549.1	Hemoglobin Tonosho	2283295
00784	HBA1	NP_000549.1	Hemoglobin G (Norfolk)	234399,1115797
00784	HBA1	NP_000549.1	Hemoglobin Belliard	2347082
00784	HBA1	NP_000549.1	Hemoglobin Pavie	2347082
00784	HBA1	NP_000549.1	Hemoglobin Questembert	2347082,8294200
00784	HBA1	NP_000549.1	Hemoglobin Catonsville	2574721
00784	HBA1	NP_000549.1	Hemoglobin Fontainebleau	2599878
00784	HBA1	NP_000549.1	Hemoglobin Nouakchott	2599878
00784	HBA1	NP_000549.1	Hemoglobin Luxembourg	2599879
00784	HBA1	NP_000549.1	Hemoglobin Miyano	2634665
00784	HBA1	NP_000549.1	Hemoglobin Reims	2634669
00784	HBA1	NP_000549.1	Hemoglobin Fort de France	2752146
00784	HBA1	NP_000549.1	Hemoglobin Toyama	2833478
00784	HBA1	NP_000549.1	Hemoglobin M (Iwate)	3026948,13897827,13906251,13985279,14323593,5964191,7216821,3957697,10477710
00784	HBA1	NP_000549.1	Hemoglobin Loire	3142772
00784	HBA1	NP_000549.1	Hemoglobin Hekinan	3384699,1983218,15182057
00784	HBA1	NP_000549.1	Hemoglobin Guangzhou	3454663,3583763,2265836
00784	HBA1	NP_000549.1	Hemoglobin Swan River	3583768,8745434
00784	HBA1	NP_000549.1	Hemoglobin Hobart	3654264
00784	HBA1	NP_000549.1	Hemoglobin Sassari	3667323,1517114,2268670,7518430,9494049
00784	HBA1	NP_000549.1	Hemoglobin Owari	3754245
00784	HBA1	NP_000549.1	Hemoglobin Woodville	3754246
00784	HBA1	NP_000549.1	Hemoglobin Chicago	3781866
00784	HBA1	NP_000549.1	Hemoglobin Twin Peaks	3839772,2752146
00784	HBA1	NP_000549.1	Hemoglobin Guizhou	3839774
00784	HBA1	NP_000549.1	Hemoglobin Daneshgah-Tehran	3841101
00784	HBA1	NP_000549.1	Hemoglobin Aztec	3935608
00784	HBA1	NP_000549.1	Hemoglobin Nunobiki	3973024
00784	HBA1	NP_000549.1	Hemoglobin J (Paris 1)	4225453,4971935,486536
00784	HBA1	NP_000549.1	Hemoglobin Broussais	4228361,740406
00784	HBA1	NP_000549.1	Hemoglobin J (Abidjan)	4347947
00784	HBA1	NP_000549.1	Hemoglobin O (Padova)	4429803,2869010,2117321,9215129
00784	HBA1	NP_000549.1	Hemoglobin Grady	4528583,6258429,6650506,999899
00784	HBA1	NP_000549.1	Hemoglobin G (Pest)	4550395,2227935
00784	HBA1	NP_000549.1	Hemoglobin J (Birmingham)	4600474
00784	HBA1	NP_000549.1	Hemoglobin Q (India)	4646552,949043
00784	HBA1	NP_000549.1	Hemoglobin Setif	4667378,893131,3997545,2634670,1802885,14649316
00784	HBA1	NP_000549.1	Hemoglobin J (Nyanza)	4719146
00784	HBA1	NP_000549.1	Hemoglobin Winnipeg	4728965,6841125,2752146
00784	HBA1	NP_000549.1	Hemoglobin Sawara	4744335
00784	HBA1	NP_000549.1	Hemoglobin G (Waimanalo)	4744336,750553,1802885
00784	HBA1	NP_000549.1	Hemoglobin Dunn	478975,3142772
00784	HBA1	NP_000549.1	Hemoglobin Sunshine Seth	478976
00784	HBA1	NP_000549.1	Hemoglobin J (Rovigo)	4824923,31339
00784	HBA1	NP_000549.1	Hemoglobin J (Habana)	4834679,6618889
00784	HBA1	NP_000549.1	Hemoglobin l (Persian Gulf)	4982774
00784	HBA1	NP_000549.1	Hemoglobin Ann Arbor	5033650,4530655
00784	HBA1	NP_000549.1	Hemoglobin St. Luke's	5081617,12779278
00784	HBA1	NP_000549.1	Hemoglobin Denmark Hill	5085669
00784	HBA1	NP_000549.1	Hemoglobin J (Singapore)	5085670
00784	HBA1	NP_000549.1	Hemoglobin Atago	5115619
00784	HBA1	NP_000549.1	Hemoglobin G (Fort Worth)	5122655,3839776
00784	HBA1	NP_000549.1	Hemoglobin J (Rajappen)	5129592
00784	HBA1	NP_000549.1	Hemoglobin G (Georgia)	5436649
00784	HBA1	NP_000549.1	Hemoglobin Q (Iran)	5460202,508945,7448125
00784	HBA1	NP_000549.1	Hemoglobin Bibba	5639009
00784	HBA1	NP_000549.1	Hemoglobin Torino	5643522,5453914
00784	HBA1	NP_000549.1	Hemoglobin Chiapas	5650416
00784	HBA1	NP_000549.1	Hemoglobin Mexico	5650416,6012906,4225368,6038433,5798597,6298095
00784	HBA1	NP_000549.1	Hemoglobin G (Audhali)	5675638
00784	HBA1	NP_000549.1	Hemoglobin Stanleyville-II	5696551,6681956,1671772
00784	HBA1	NP_000549.1	Hemoglobin Chad	5714528
00784	HBA1	NP_000549.1	Hemoglobin Singapore	5782115
00784	HBA1	NP_000549.1	Hemoglobin Zambia	5798469
00784	HBA1	NP_000549.1	Hemoglobin J (Toronto)	5870555
00784	HBA1	NP_000549.1	Hemoglobin I	5886214,5926190,6072501,13260359,14405987,16590776,14490283,14130347,4956511,6032878,5713622,5128292,740406,6505702
00784	HBA1	NP_000549.1	Hemoglobin Cemenelum	5913291
00784	HBA1	NP_000549.1	Hemoglobin Chesapeake	5967288,6188720,5913291
00784	HBA1	NP_000549.1	Hemoglobin J (Cape Town)	5988206,6188720,3718876
00784	HBA1	NP_000549.1	Hemoglobin J (Tongariki)	6034517,4550394,5427353
00784	HBA1	NP_000549.1	Hemoglobin UBE-2	6035181,6469696,10722118,11939522
00784	HBA1	NP_000549.1	Hemoglobin Thailand	604316
00784	HBA1	NP_000549.1	Hemoglobin Memphis	6082248,4743350
00784	HBA1	NP_000549.1	Hemoglobin Westmead	6153381,3384694
00784	HBA1	NP_000549.1	Hemoglobin Tokoname	6188720
00784	HBA1	NP_000549.1	Hemoglobin Kariya	6188720,2500435
00784	HBA1	NP_000549.1	Hemoglobin J (Camaguey)	640841,8537233
00784	HBA1	NP_000549.1	Hemoglobin UBE-4	640856
00784	HBA1	NP_000549.1	Hemoglobin Aichi	6469697,3623974
00784	HBA1	NP_000549.1	Hemoglobin Chongqing	6526652
00784	HBA1	NP_000549.1	Hemoglobin Harbin	6526652
00784	HBA1	NP_000549.1	Hemoglobin Cordele	6547117
00784	HBA1	NP_000549.1	Hemoglobin Contaldo	6547932
00784	HBA1	NP_000549.1	Hemoglobin J (Tashikuergan)	6548207,2265836
00784	HBA1	NP_000549.1	Hemoglobin J (Singa)	6691995
00784	HBA1	NP_000549.1	Hemoglobin Dagestan	6783600,3108202
00784	HBA1	NP_000549.1	Hemoglobin Kawachi	6815131
00784	HBA1	NP_000549.1	Hemoglobin Handa	6815131,6403040
00784	HBA1	NP_000549.1	Hemoglobin Albany-Georgia	6860428
00784	HBA1	NP_000549.1	Hemoglobin Etobicoke	6874377
00784	HBA1	NP_000549.1	Hemoglobin Evanston	6882779,15008259
00784	HBA1	NP_000549.1	Hemoglobin Iwata	6998928,6874376
00784	HBA1	NP_000549.1	Hemoglobin Legnano	701083
00784	HBA1	NP_000549.1	Hemoglobin Ogi	7055587,7158628,3446653,2752146
00784	HBA1	NP_000549.1	Hemoglobin Kokura	7068437,14076130
00784	HBA1	NP_000549.1	Hemoglobin le Lamentin	7128817,6188720,3384713
00784	HBA1	NP_000549.1	Hemoglobin Shenyang	7161109,2703370
00784	HBA1	NP_000549.1	Hemoglobin Beijing	7161110
00784	HBA1	NP_000549.1	Hemoglobin Milledgeville	7213661
00784	HBA1	NP_000549.1	Hemoglobin Ferndown	7238857
00784	HBA1	NP_000549.1	Hemoglobin Tottori	7275660
00784	HBA1	NP_000549.1	Hemoglobin Lille	7275663,6500991
00784	HBA1	NP_000549.1	Hemoglobin Noko	7275668
00784	HBA1	NP_000549.1	Hemoglobin Wuming	7338470,8537231
00784	HBA1	NP_000549.1	Hemoglobin Shuangfeng	7338471
00784	HBA1	NP_000549.1	Hemoglobin Duan	7338471,3384694
00784	HBA1	NP_000549.1	Hemoglobin Savaria	7353957,3937826,3839775,3937825
00784	HBA1	NP_000549.1	Hemoglobin Bari	7378457
00784	HBA1	NP_000549.1	Hemoglobin Shaare Zedek	7389895
00784	HBA1	NP_000549.1	Hemoglobin Necker Enfants-Malades	7390863
00784	HBA1	NP_000549.1	Hemoglobin Mizushi	7390865
00784	HBA1	NP_000549.1	Hemoglobin Petah Tikva	7470621
00784	HBA1	NP_000549.1	Hemoglobin Malhacen	7615398
00784	HBA1	NP_000549.1	Hemoglobin Lisbon	7713746
00784	HBA1	NP_000549.1	Hemoglobin Tatras	7713746
00784	HBA1	NP_000549.1	Hemoglobin Tunis-Bizerte	7786798
00784	HBA1	NP_000549.1	Hemoglobin Roanne	7811728
00784	HBA1	NP_000549.1	Hemoglobin Poitiers	8195004
00784	HBA1	NP_000549.1	Hemoglobin Caen	8294200
00784	HBA1	NP_000549.1	Hemoglobin Melusine	8294200
00784	HBA1	NP_000549.1	Hemoglobin Chapel Hill	8332
00784	HBA1	NP_000549.1	Hemoglobin Ozieri	8448185
00784	HBA1	NP_000549.1	Hemoglobin Pontoise	849454,3583765
00784	HBA1	NP_000549.1	Hemoglobin Handsworth	852596,7216818,3997545
00784	HBA1	NP_000549.1	Hemoglobin Mantes-la-Jolie	8537232
00784	HBA1	NP_000549.1	Hemoglobin Mosella	8537232
00784	HBA1	NP_000549.1	Hemoglobin Bois Guillaume	8537232
00784	HBA1	NP_000549.1	Hemoglobin Fuchu-I	8718697
00784	HBA1	NP_000549.1	Hemoglobin Gouda	8745429
00784	HBA1	NP_000549.1	Hemoglobin Koelliker	893128,4961849,6805217
00784	HBA1	NP_000549.1	Hemoglobin Matsue-Oki	893135,6814490
00784	HBA1	NP_000549.1	Hemoglobin J (Cubujuqui)	901812,7338473
00784	HBA1	NP_000549.1	Hemoglobin Port Phillip	902765
00784	HBA1	NP_000549.1	Hemoglobin Villeurbanne	9269086
00784	HBA1	NP_000549.1	Hemoglobin J (Biskra)	9488635
00784	HBA1	NP_000549.1	Hemoglobin Jackson	949045
00784	HBA1	NP_000549.1	Hemoglobin Godavari	9494044
00784	HBA1	NP_000549.1	Hemoglobin Oita	9730365
00785	HBA2	NP_000508.1	Hemoglobin Seal Rock	None
00785	HBA2	NP_000508.1	Hemoglobin Antananarivo	10081983
00785	HBA2	NP_000508.1	Hemoglobin Tarrant	10490145,13856
00785	HBA2	NP_000508.1	Hemoglobin Boghe	10569723
00785	HBA2	NP_000508.1	Hemoglobin Toulon	10569726,11186269,12144065
00785	HBA2	NP_000508.1	Hemoglobin Wayne	1062801,6994493,1487423
00785	HBA2	NP_000508.1	Hemoglobin Sallanches	10722113
00785	HBA2	NP_000508.1	Hemoglobin Campinas	10870886
00785	HBA2	NP_000508.1	Alpha-thalassemia, ZF type	10910890,12730694
00785	HBA2	NP_000508.1	Hemoglobin Montgomery	1115799,3384700,2752146
00785	HBA2	NP_000508.1	Hemoglobin Nikaia	11186260
00785	HBA2	NP_000508.1	Hemoglobin Clinico-Madrid	11186266,11570724
00785	HBA2	NP_000508.1	Hemoglobin Koya Dora	1155453
00785	HBA2	NP_000508.1	Hemoglobin Dartmouth	11791870
00785	HBA2	NP_000508.1	Hemoglobin Gerland	11791875
00785	HBA2	NP_000508.1	Hemoglobin Norton	12144061
00785	HBA2	NP_000508.1	Hemoglobin Park Ridge	12144061
00785	HBA2	NP_000508.1	Hemoglobin San Antonio	12144061
00785	HBA2	NP_000508.1	Hemoglobin Lombard	12144061
00785	HBA2	NP_000508.1	Hemoglobin Manawatu	12484634
00785	HBA2	NP_000508.1	Hemoglobin Spanish Town	1268216,2752146
00785	HBA2	NP_000508.1	Hemoglobin Chartres	12779273
00785	HBA2	NP_000508.1	Hemoglobin Fukui	12779274
00785	HBA2	NP_000508.1	Hemoglobin G (Honolulu)	13748254,508945,13703277,11939521,12603093
00785	HBA2	NP_000508.1	Hemoglobin G (Bristol)	13816361,13795009,13739559,13685865,13703277,13716549,14474345,13999302,14166851,14289041,6935689,6933536,6198906,6199285,2752146
00785	HBA2	NP_000508.1	Hemoglobin l (Ferrara)	13968068,5587575,5713624,5780195,5794113,4448454,620088,5643179,7110343,2752146
00785	HBA2	NP_000508.1	Hemoglobin J (Oxford)	14212426,14204459,6469697,2752146
00785	HBA2	NP_000508.1	Hemoglobin Decines-Charpieu	15008265
00785	HBA2	NP_000508.1	Hemoglobin Part-Dieu	15008265
00785	HBA2	NP_000508.1	Alpha-plus-thalassemia	15481895
00785	HBA2	NP_000508.1	Hemoglobin Zurich Albisrieden	15658192
00785	HBA2	NP_000508.1	Hemoglobin Passy	15768558
00785	HBA2	NP_000508.1	Alpha-thalassemia-2, nondeletional	1581238
00785	HBA2	NP_000508.1	Hemoglobin Plasencia	15921163
00785	HBA2	NP_000508.1	Hemoglobin Hanamaki	1634363,7928378
00785	HBA2	NP_000508.1	Alpha-thalassemia, Hmong type	16798638
00785	HBA2	NP_000508.1	Hemoglobin Al-Hammadi Riyadh	16798639
00785	HBA2	NP_000508.1	Hemoglobin Columbia Missouri	1988759
00785	HBA2	NP_000508.1	Hemoglobin Sun Prairie	2079430,2079431,8811313,15813858
00785	HBA2	NP_000508.1	Hemoglobin Davenport	2101836
00785	HBA2	NP_000508.1	Hemoglobin Evans	2606724
00785	HBA2	NP_000508.1	Hemoglobin Natal	3191134
00785	HBA2	NP_000508.1	Hemoglobin H disease	3620699,16116675,9322079
00785	HBA2	NP_000508.1	Hemoglobin Inkster	4212045,2752146,11186265
00785	HBA2	NP_000508.1	Hemoglobin Icaria	4422784,2372512
00785	HBA2	NP_000508.1	Hemoglobin J (Buda)	4550395,2227935
00785	HBA2	NP_000508.1	Hemoglobin Suan-Dok	478977,2384313,2265255,15481883
00785	HBA2	NP_000508.1	Hemoglobin Prato	486536,1517104,12603094
00785	HBA2	NP_000508.1	Hemoglobin Constant Spring	4944483,4623704,3177365,2298455,1634361
00785	HBA2	NP_000508.1	Hemoglobin Rampa	5577460,5012316,681817,12484636
00785	HBA2	NP_000508.1	Hemoglobin J (Sardegna)	5649699,2703364,9895333
00785	HBA2	NP_000508.1	Alpha-thalassemia	6490612,8756078,3597771,15481894
00785	HBA2	NP_000508.1	Hemoglobin I	6505702
00785	HBA2	NP_000508.1	Hemoglobin Manitoba	6547932,11791879
00785	HBA2	NP_000508.1	Hemoglobin Boyle Heights	6671902,2101838
00785	HBA2	NP_000508.1	Alpha-thalassemia trait	6985477,9175734
00785	HBA2	NP_000508.1	Hemoglobin Quong Sze	7070526,1726096
00785	HBA2	NP_000508.1	Hemoglobin Bibba	7558871,5639009
00785	HBA2	NP_000508.1	Hemoglobin Kurosaki	7558876,15921168
00785	HBA2	NP_000508.1	Hemoglobin Anamosa	7615398
00785	HBA2	NP_000508.1	Hemoglobin Aakae	8193381
00785	HBA2	NP_000508.1	Hemoglobin Kurdistan	8195005
00785	HBA2	NP_000508.1	Hemoglobin val de Marne	8294199,8195006,15481888
00785	HBA2	NP_000508.1	Alpha-thalassemia, Dutch type	8943885,12603095
00785	HBA2	NP_000508.1	Hemoglobin Watts	9255611
00785	HBA2	NP_000508.1	Hemoglobin Agrinio	9629496
00785	HBA2	NP_000508.1	Hemoglobin Conakry	9886305
00786	HBB	NP_000509.1	Hemoglobin Poissy	3841063
00786	HBB	NP_000509.1	Hemoglobin South Florida	3866233,3758492
00786	HBB	NP_000509.1	Hemoglobin North Chicago	3937824
00786	HBB	NP_000509.1	Hemoglobin Mito	3937827
00786	HBB	NP_000509.1	Hemoglobin Perth	4127713,4352462,6153383,6998928
00786	HBB	NP_000509.1	Hemoglobin Rush	4129558
00786	HBB	NP_000509.1	Hemoglobin Madrid	4212046,8330977,10870884
00786	HBB	NP_000509.1	Hemoglobin J (Sicilia)	4214182
00786	HBB	NP_000509.1	Hemoglobin Cowtown	42311,6589624
00786	HBB	NP_000509.1	Hemoglobin Avicenna	427203
00786	HBB	NP_000509.1	Hemoglobin St. Louis	4281476,993333,186485,3557999
00786	HBB	NP_000509.1	Hemoglobin Terre Haute	429365,2005117
00786	HBB	NP_000509.1	Hemoglobin Indianapolis	429365,3781865,3170235,2005117
00786	HBB	NP_000509.1	Hemoglobin Duarte	4361395
00786	HBB	NP_000509.1	Hemoglobin Lyon	4407311
00786	HBB	NP_000509.1	Hemoglobin Andrew-Minneapolis	4413656,29054
00786	HBB	NP_000509.1	Hemoglobin Belfast	4434089,15481889
00786	HBB	NP_000509.1	Hemoglobin Moscva	4525423
00786	HBB	NP_000509.1	Hemoglobin Camden	4550044,7357091
00786	HBB	NP_000509.1	Hemoglobin Istanbul	4639022,11946811,111458,10870887
00786	HBB	NP_000509.1	Hemoglobin Olympia	4683875,6745619,2599884
00786	HBB	NP_000509.1	Hemoglobin Tours	4699574
00786	HBB	NP_000509.1	Hemoglobin St. Antoine	4699574
00786	HBB	NP_000509.1	Hemoglobin D (Iran)	4715135,7073867
00786	HBB	NP_000509.1	Hemoglobin D (Ouled Rabah)	4719147,3384702,9450184
00786	HBB	NP_000509.1	Hemoglobin Brigham	4719677
00786	HBB	NP_000509.1	Hemoglobin Heathrow	4742453
00786	HBB	NP_000509.1	Hemoglobin Southampton	4743351
00786	HBB	NP_000509.1	Hemoglobin Okaloosa	4748512
00786	HBB	NP_000509.1	Hemoglobin Beograd	4761994,1138922,809962,7717379
00786	HBB	NP_000509.1	Hemoglobin Nottingham	4781799,701088,1634365
00786	HBB	NP_000509.1	Hemoglobin San Diego	4808645,4808644,7204093,7615400
00786	HBB	NP_000509.1	Hemoglobin Ankara	4850241,7338476
00786	HBB	NP_000509.1	Hemoglobin Nagasaki	4950989,9101287
00786	HBB	NP_000509.1	Hemoglobin Richmond	4981790,239952
00786	HBB	NP_000509.1	Hemoglobin K (Woolwich)	4999133
00786	HBB	NP_000509.1	Hemoglobin Bougardirey-Mali	500370
00786	HBB	NP_000509.1	Hemoglobin J (Calabria)	500375
00786	HBB	NP_000509.1	Hemoglobin Deer Lodge	5022448,3384712
00786	HBB	NP_000509.1	Hemoglobin Abruzzo	5031790,2283301
00786	HBB	NP_000509.1	Hemoglobin G (hsi-tsou)	5032420
